id,SKU,TITLE,Status,URL
4946,",6953156247727","Baseus Samsung Note 7 Case Grey",2,http://www.g-sp.se/foretag/baseus-samsung-note-7-case-grey?SID=irfg5e6qkkn9hofc4qndgmrgq7
1238,",6955250265836","5G/5S Lamborghini Flip Open Orange",2,http://www.g-sp.se/foretag/5g-5s-lamborghini-flip-open-orange?SID=irfg5e6qkkn9hofc4qndgmrgq7
1237,",6955250267168","5G/5S Lamborghini Hard Case Yellow",2,http://www.g-sp.se/foretag/5g-5s-lamborghini-hard-case-yellow?SID=irfg5e6qkkn9hofc4qndgmrgq7
4853,",6SP28","iPhone 6S Plus sim card tray rose pink",2,http://www.g-sp.se/foretag/iphone-6sp-lcd-housing-adhesive-black-5089?SID=irfg5e6qkkn9hofc4qndgmrgq7
5555,",78P7550002N","Sony M2 Aqua LCD Complete Black",2,http://www.g-sp.se/foretag/catalog/product/view/id/5555/s/sony-m2-aqua-lcd-complete-black/?SID=irfg5e6qkkn9hofc4qndgmrgq7
1105,",7963164821061","Charging Kit",2,http://www.g-sp.se/foretag/charging-kit?SID=irfg5e6qkkn9hofc4qndgmrgq7
4098,",8714574586588","Canon Power Shot S110",2,http://www.g-sp.se/foretag/catalog/product/view/id/4098/s/canon-power-shot-s110/?SID=irfg5e6qkkn9hofc4qndgmrgq7
5217,",DAT62","Sony VAIO SVE151J11M replacement laptop screen",2,http://www.g-sp.se/foretag/sony-vaio-sve151j11m-replacement-laptop-screen?SID=irfg5e6qkkn9hofc4qndgmrgq7
5168,",DAT64","Screen LCD CLAA154WP05",2,http://www.g-sp.se/foretag/catalog/product/view/id/5168/s/screen-ccfl-chunghwa-154wp05s/?SID=irfg5e6qkkn9hofc4qndgmrgq7
5553,",EB-B600BEBECWW","Samsung GT-I9505 S4 Batteri",2,http://www.g-sp.se/foretag/catalog/product/view/id/5553/s/samsung-gt-i9505-s4-batteri/?SID=irfg5e6qkkn9hofc4qndgmrgq7
5554,",EB-BJ510CBEGWW","Samsung SM-J510 Batteri",2,http://www.g-sp.se/foretag/catalog/product/view/id/5554/s/samsung-sm-j510-batteri/?SID=irfg5e6qkkn9hofc4qndgmrgq7
5552,",EB-BN910BBEGWW","Samsung SM-N910 Note 4 Batteri EB-BN910BBEGWW",2,http://www.g-sp.se/foretag/catalog/product/view/id/5552/s/samsung-sm-n910-note-4-batteri-eb-bn910bbegww/?SID=irfg5e6qkkn9hofc4qndgmrgq7
5459,",HUAH806","Huawei Honor 8 LCD black original",2,http://www.g-sp.se/foretag/huawei-honor-8-lcd-original-black?SID=irfg5e6qkkn9hofc4qndgmrgq7
5460,",HUAH807","Huawei Honor 8 LCD white original",2,http://www.g-sp.se/foretag/huawei-honor-8-lcd-original-white?SID=irfg5e6qkkn9hofc4qndgmrgq7
5412,",LENM3-1030","Lenovo MIIX 3-1030 LCD Complete",2,http://www.g-sp.se/foretag/lenovo-miix-3-1030-lcd-complete?SID=irfg5e6qkkn9hofc4qndgmrgq7
5428,",N156HGE-EA1","Screen N156HGE-EA1 LED",2,http://www.g-sp.se/foretag/screen-n156hge-ea1-led?SID=irfg5e6qkkn9hofc4qndgmrgq7
151,",T603004","Air 2 LZW Case Dark Blue",2,http://www.g-sp.se/foretag/air-2-lzw-case-dark-blue?SID=irfg5e6qkkn9hofc4qndgmrgq7
130,",T605009","iPhone 5G pocket  Case Brown ",2,http://www.g-sp.se/foretag/5g-npy-case-brown-xb?SID=irfg5e6qkkn9hofc4qndgmrgq7
