"%s was added to your shopping cart.","%s placerades i din varukorg."
"Loading next step...","Laddar nästa steg..."
"Login","Logga in"
"Manage Checkout Terms and Conditions","Manage Checkout Terms and Conditions"
"Maximum display Recently added item(s)","Maximum display Recently added item(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximalt antal för leverans till flera adresser är %s"
"Move to Wishlist","Flytta till önskelista"
"My Account","Mitt konto"
"My Cart (%s item)","Min varukorg (%s artikel)"
"My Cart (%s items)","Min varukorg (%s artiklar)"
"My Cart Link","Länk till min varukorg"
"My Cart","My Cart"
"My Cart","Varukorgen"
"New Address","Ny adress"
"New Condition","New Condition"
"Order #","Order #"
"Order Review","Granska beställning"
"Order Success","Beställningen har lagts"
"Other items in your order","Other items in your order"
"Password","Lösenord"
"Payment Failed Email Reciever","Payment Failed Email Reciever"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Template","Payment Failed Template"
"Payment Information","Information om betalning"
"Payment Method","Betalningssätt"
"Payment method is not defined","Betalningssätt har inte angetts"
"Place Order","Lägg beställning"
"Please <a href=""%s"">continue shopping</a>.","Du kan <a href=""%s"">fortsätta handla</a>."
"Please agree to all Terms and Conditions before placing the order.","Please agree to all Terms and Conditions before placing the order."
"Please agree to all Terms and Conditions before placing the orders.","Please agree to all Terms and Conditions before placing the orders."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Vänligen ange ett giltigt postnummer, exempelvis 980 16 eller 231 78."
"Please log in below:","Vänligen logga in nedan:"
"Please select region, state or province","Vänligen välj region"
"Please select shipping address for applicable items","Please select shipping address for applicable items"
"Please select shipping methods for all addresses","Vänligen välj leveranssätt för alla adresser"
"Price","Pris"
"Proceed to Checkout","Gå till kassan"
"Product Name","Produktnamn"
"Product does not exist","Produkten existerar inte"
"Product","Produkt"
"Qty","Antal"
"Quote Lifetime (days)","Offertens varaktighet (dagar)"
"Recently added item(s)","Nyligen tillagda produkter"
"Register and save time!","Registrera dig och spara tid!"
"Register to Create an Account","Registrera dig för att skapa ett konto"
"Register with us for future convenience:","Om du registrerar dig kan du handla smidigare i framtiden:"
"Register","Registrera"
"Remove Item","Ta bort artikel"
"Remove Product","Ta bort produkt"
"Remove item","Remove item"
"Remove","Ta bort"
"Review Order - %s","Granska beställning - %s"
"Review Order","Granska beställning"
"Sales","Sales"
"Save Condition","Save Condition"
"Save in address book","Spara i adressboken"
"Select Address","Välj adress"
"Select Addresses","Välj adresser"
"Select Shipping Method","Välj leveranssätt"
"Select State/Province...","Välj region..."
"Select a billing address from your address book or enter a new address.","Välj faktureringsadress från adressboken eller ange en ny adress."
"Select a shipping address from your address book or enter a new address.","Välj en leveranssadress från din adressbok eller ange en ny adress."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Send to","Skicka till"
"Ship to Multiple Addresses","Leverera till flera adresser"
"Ship to different address","Leverera till annan adress"
"Ship to this address","Leverera till denna adress"
"Shipping Address","Leveransadress"
"Shipping Information","Information om leverans"
"Shipping Method","Leveranssätt"
"Shipping Methods","Leveranssätt"
"Shipping method has not been selected yet","Något leveranssätt har inte valts än"
"Shipping selection is not applicable","Shipping selection is not applicable"
"Shipping to","Leverans till"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Shopping Cart is Empty","Din varukorg är tom"
"Shopping Cart","Varukorg"
"Show Content as","Show Content as"
"Some of the products you requested are not available in the desired quantity","Några av produkterna finns inte i önskat antal."
"Some of the products you requested are unavailable","Vissa produkter som du har begärt är inte tillgängliga"
"Sorry, Onepage Checkout is disabled.","Sorry, Onepage Checkout is disabled."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, guest checkout is not enabled. Please try again or contact store owner."
"Sorry, no quotes are available for this order at this time.","Tyvärr är det för närvarande inte möjligt att begära offert för denna beställning."
"State/Province","Region"
"Status","Status"
"Store View","Store View"
"Street Address ","Street Address "
"Street Address","Gatuadress"
"Submitting order information...","Skickar information om beställning..."
"Subtotal","Summa"
"Telephone","Telefon"
"Terms and Conditions Information","Terms and Conditions Information"
"Terms and Conditions","Terms and Conditions"
"Terms and conditions","Terms and conditions"
"Text","Text"
"Thank you for your purchase!","Tack för ditt köp!"
"There are <a href=""%s"">%s items</a> in your cart.","Det finns <a href=""%s""><strong>%s artiklar</strong></a> i din varukorg."
"There is <a href=""%s"">1 item</a> in your cart.","Du har <a href=""%s""><strong>1 artikel</strong></a> i din varukorg."
"There is already a customer registered using this email address","Det finns redan en kund med den angivna e-postadressen."
"There was an error processing your order. Please contact us or try again later.","Ett fel uppstod när din beställning skulle behandlas. Vänligen kontakta oss eller försök igen senare."
"This condition no longer exists","This condition no longer exists"
"Total for this address","Totalt för denna adress"
"Total","Total"
"Unit Price","Enhetspris"
"Update Qty &amp; Addresses","Uppdatera antal &amp; adresser"
"Update Shopping Cart","Uppdatera varukorgen"
"Update Total","Uppdatera total"
"Use Billing Address","Använd faktureringsadress"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","En orderbekräftelse skickas så snart vi behandlat din order. När ordern levereras skickar vi även en leveransbekräftelse. I leveransbekräftelsen bifogas kolli-id och en länk så att du kan följa försändelsen."
"You have no items in your shopping cart.","Du har inga varor i din varukorg."
"You have no items in your shopping cart.","Varukorgen är tom."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Du kommer att få en orderbekräftelse till din e-postadress med detaljerna för din beställning."
"Your Checkout Progress","Steg i kassan"
"Your order # is: %s.","Ditt beställningsnummer är: %s."
"Your order # is: <a href=""%s"">%s</a>","Your order # is: <a href=""%s"">%s</a>"
"Your order has been received.","Vi har tagit emot din beställning"
"Your order number is ","Your order number is "
"Zip/Postal Code","Postnummer"
"osCommerce Orders","osCommerce Orders"
"separate by "",""","separate by "","""
